Model Serial,AUROC,Calibration Slope,Brier,Net Benefit,Sensitivity,Specificity,PPV,NPV,F1,Mean Rank
06022026_102618_70073,0.7827416494770745,1.0002078130821581,0.08740124851465225,0.04557786352957814,0.5901639344262295,0.8520971302428256,0.34951456310679613,0.9391727493917275,0.43902439024390244,34.5
03022026_115404_58666,0.7864871711359606,1.0489312986219284,0.08642855749209169,0.05685806355337772,0.7868852459016393,0.6666666666666666,0.24120603015075376,0.9587301587301588,0.36923076923076925,35.0
06022026_094456_89992,0.7890746571128722,1.1174176237502145,0.08753367513418198,0.04560582871614609,0.5737704918032787,0.8763796909492274,0.38461538461538464,0.9385342789598109,0.4605263157894737,35.44444444444444
05022026_132127_88253,0.7857091159121341,1.0548127470962607,0.08696947991847992,0.04163140410908946,0.5573770491803278,0.8741721854304636,0.37362637362637363,0.9361702127659575,0.4473684210526316,38.0
06022026_011128_41258,0.7865233597510223,1.0964756799798931,0.08790184557437897,0.05863124384066555,0.8032786885245902,0.6512141280353201,0.23671497584541062,0.9609120521172638,0.3656716417910448,39.27777777777778
05022026_162251_15784,0.7937248941483009,1.1154290827774669,0.0880376324057579,0.05837440403769338,0.7868852459016393,0.6666666666666666,0.24120603015075376,0.9587301587301588,0.36923076923076925,39.44444444444444
04022026_181644_99999,0.7865776426736149,1.062739985909944,0.08744728565216064,0.058278106227641555,0.8032786885245902,0.6401766004415012,0.23113207547169812,0.9602649006622517,0.358974358974359,40.27777777777778
04022026_203252_81611,0.7848044005355915,1.0725923606438483,0.08768871426582336,0.06781632689073747,0.819672131147541,0.6313465783664459,0.2304147465437788,0.9629629629629629,0.3597122302158273,40.833333333333336
04022026_200326_75002,0.7927297072341042,1.120874362699159,0.08652937412261963,0.04539120346468353,0.639344262295082,0.7947019867549668,0.29545454545454547,0.9424083769633508,0.40414507772020725,41.5
05022026_105932_15617,0.7910650309412658,1.1083556627986015,0.08779754862118903,0.05774047786848923,0.7868852459016393,0.6578366445916115,0.23645320197044334,0.9581993569131833,0.36363636363636365,41.666666666666664
05022026_132823_67982,0.7919154633952159,1.0817794266325045,0.0872834101319313,0.07579082118250022,0.8852459016393442,0.5540838852097131,0.2109375,0.9728682170542635,0.34069400630914826,41.888888888888886
06022026_104042_23962,0.7787428075127565,0.9087256498954966,0.08835827559232712,0.04486072398066426,0.6065573770491803,0.8454746136865342,0.34579439252336447,0.941031941031941,0.44047619047619047,42.111111111111114
05022026_190908_63453,0.7805160496507798,1.0508119700926841,0.08844151347875595,0.04584585276625314,0.6229508196721312,0.8233995584988962,0.3220338983050847,0.9419191919191919,0.4245810055865922,42.22222222222222
05022026_110351_60747,0.7846958346904063,1.003721055104476,0.08821802586317062,0.047083766084516095,0.7049180327868853,0.7373068432671082,0.2654320987654321,0.9488636363636364,0.38565022421524664,42.27777777777778
05022026_190915_97504,0.7888032424999094,1.1666325086687368,0.08747223764657974,0.061183404473161146,0.8032786885245902,0.6467991169977925,0.23444976076555024,0.9606557377049181,0.362962962962963,42.388888888888886
04022026_173839_85593,0.7769876596822639,1.080693554602375,0.0874493271112442,0.042737030219703195,0.6065573770491803,0.8344370860927153,0.33035714285714285,0.9402985074626866,0.4277456647398844,44.0
05022026_142305_15056,0.7753229833894256,0.9665400343247736,0.08767575770616531,0.053216299905903014,0.7377049180327869,0.7064017660044151,0.25280898876404495,0.9523809523809523,0.37656903765690375,44.27777777777778
04022026_212408_85918,0.7899431838743531,1.337561964831617,0.08779248746292645,0.05576249612664428,0.7704918032786885,0.6843267108167771,0.24736842105263157,0.9567901234567902,0.3745019920318725,45.05555555555556
04022026_171714_71349,0.783899685159049,1.0613384409113764,0.08910020440816879,0.054619952531490455,0.7377049180327869,0.7152317880794702,0.25862068965517243,0.9529411764705882,0.3829787234042553,45.27777777777778
06022026_113152_53597,0.7710889154272066,1.0204671158169867,0.08813176304101944,0.04792050285024574,0.6557377049180327,0.7991169977924945,0.3053435114503817,0.9451697127937336,0.4166666666666667,45.44444444444444
04022026_193821_82753,0.7832663843954693,1.07217430984314,0.08822490531286138,0.04804799508965988,0.7049180327868853,0.7373068432671082,0.2654320987654321,0.9488636363636364,0.38565022421524664,45.5
04022026_143236_99038,0.7849129663807766,1.1272012116955057,0.0877077504992485,0.04474752057658031,0.6229508196721312,0.8079470198675497,0.304,0.9408740359897172,0.40860215053763443,45.77777777777778
05022026_141616_46661,0.7730792892556002,1.0291519735960426,0.08896094560623169,0.04351673730764978,0.5901639344262295,0.8565121412803532,0.3564356435643564,0.9394673123486683,0.4444444444444444,45.77777777777778
06022026_101306_46807,0.7850758151485543,1.2108225950388412,0.0883827656507492,0.04284232192699519,0.5901639344262295,0.8565121412803532,0.3564356435643564,0.9394673123486683,0.4444444444444444,45.888888888888886
05022026_153855_23198,0.7894546375710201,1.1720549875004835,0.08731912571330808,0.043800267296118765,0.6229508196721312,0.8013245033112583,0.296875,0.9404145077720207,0.4021164021164021,46.111111111111114
05022026_131048_62283,0.7760829443057216,1.0516969627045907,0.08819432556629181,0.042770222844486644,0.5573770491803278,0.8631346578366446,0.3541666666666667,0.9354066985645934,0.43312101910828027,47.22222222222222
05022026_134818_29477,0.7865233597510224,1.1611616788589967,0.08904814170189604,0.06961956709898698,0.8524590163934426,0.6136865342163356,0.2290748898678414,0.9686411149825784,0.3611111111111111,47.5
04022026_172122_32397,0.7817464625628777,1.1096117893039568,0.08789681643247604,0.05193589970392768,0.7049180327868853,0.7306843267108167,0.2606060606060606,0.9484240687679083,0.3805309734513274,48.111111111111114
05022026_140051_85129,0.7708898780443671,1.116242038965146,0.08858203211722745,0.044128346213009095,0.5901639344262295,0.8609271523178808,0.36363636363636365,0.9397590361445783,0.45,48.44444444444444
05022026_161847_43043,0.7862157565229978,1.1151556224847334,0.08896992355585098,0.06679221559116144,0.8524590163934426,0.5982339955849889,0.2222222222222222,0.9678571428571429,0.3525423728813559,49.611111111111114
05022026_232336_54319,0.7804798610357182,1.1013836463726272,0.08887278288602829,0.044675209303104715,0.6065573770491803,0.8278145695364238,0.3217391304347826,0.9398496240601504,0.42045454545454547,49.72222222222222
05022026_154434_37671,0.7836644591611479,1.113373476532386,0.08763847999898851,0.057491063718003714,0.8032786885245902,0.6269315673289183,0.22477064220183487,0.9594594594594594,0.35125448028673834,49.888888888888886
04022026_180009_48823,0.7846053631527521,1.0988574749484776,0.08829318732023239,0.06320717539534337,0.8360655737704918,0.5960264900662252,0.21794871794871795,0.9642857142857143,0.34576271186440677,49.94444444444444
05022026_224610_26067,0.7844787030000361,1.1334414783651838,0.08859598636627197,0.039219630816878195,0.5737704918032787,0.8587196467991169,0.35353535353535354,0.9373493975903614,0.4375,50.0
05022026_132638_82531,0.783881590851518,1.1052211399934857,0.08807644248008728,0.047693761776656234,0.6885245901639344,0.7328918322295805,0.25766871165644173,0.9458689458689459,0.375,50.111111111111114
05022026_130812_65089,0.7908659935584265,1.2427064322334245,0.08907377129172046,0.05249134207314788,0.7213114754098361,0.7306843267108167,0.26506024096385544,0.9511494252873564,0.3876651982378855,50.166666666666664
04022026_204912_34176,0.7845691745376905,1.1635386381300095,0.08830276102499691,0.056160385520161,0.8032786885245902,0.6423841059602649,0.23222748815165878,0.9603960396039604,0.3602941176470588,50.22222222222222
04022026_134336_86482,0.7871566605146023,1.1449509631075956,0.08798835231236946,0.058008499227382125,0.8032786885245902,0.6247240618101545,0.2237442922374429,0.9593220338983051,0.35,50.833333333333336
03022026_143635_80027,0.7811131617992979,1.1403202201644607,0.08677062392234802,0.03881483851581473,0.5737704918032787,0.8454746136865342,0.3333333333333333,0.9364303178484108,0.42168674698795183,50.94444444444444
05022026_103644_75716,0.7747439655484383,1.1201742542046649,0.08798285332896827,0.043012193644169625,0.5901639344262295,0.8410596026490066,0.3333333333333333,0.9384236453201971,0.4260355029585799,51.5
05022026_131219_96349,0.7710708211196757,1.0810431601194088,0.08758780360221863,0.040834393321208626,0.5737704918032787,0.8498896247240618,0.33980582524271846,0.9367396593673966,0.4268292682926829,52.0
03022026_164932_80499,0.7755220207722651,1.0800425734466694,0.08792979270219803,0.03880981786028774,0.5573770491803278,0.8565121412803532,0.3434343434343434,0.9349397590361446,0.425,52.44444444444444
06022026_112149_60124,0.7775666775232513,1.211961839912109,0.08767396211624146,0.04152660184512569,0.5573770491803278,0.8631346578366446,0.3541666666666667,0.9354066985645934,0.43312101910828027,52.44444444444444
05022026_143548_72484,0.7793037310462128,1.1274101720933067,0.0885833278298378,0.055395775346461694,0.7540983606557377,0.6799116997792495,0.24083769633507854,0.9535603715170279,0.36507936507936506,52.611111111111114
04022026_182718_21112,0.7884594506568233,1.3074233158436752,0.08823840320110321,0.041653596069033155,0.5901639344262295,0.8366445916114791,0.32727272727272727,0.9381188118811881,0.42105263157894735,52.833333333333336
